,train_combined
0,C66P27N_ThinF_IMG_20150818_164008_cell_99.png
1,C107P68ThinF_IMG_20150924_222415_cell_147.png
2,C188P149ThinF_IMG_20151203_134449_cell_92.png
3,C71P32_ThinF_IMG_20150813_162016_cell_18.png
4,C210ThinF_IMG_20151029_162934_cell_46.png
5,C90P51ThinF_IMG_20150821_120044_cell_126.png
6,C48P9thinF_IMG_20150721_160406_cell_183.png
7,C170P131ThinF_IMG_20151119_120150_cell_104.png
8,C232ThinF_IMG_20151112_154211_cell_112.png
9,C3thin_original_IMG_20150608_163029_cell_1.png
10,C204ThinF_IMG_20151029_110834_cell_213.png
11,C59P20thinF_IMG_20150803_112858_cell_49.png
12,C63P24N_ThinF_IMG_20150818_143423_cell_16.png
13,C216ThinF_IMG_20151106_134733_cell_169.png
14,C90P51ThinF_IMG_20150821_115846_cell_59.png
15,C240ThinF_IMG_20151127_115223_cell_72.png
16,C92P53ThinF_IMG_20150821_151646_cell_46.png
17,C235ThinF_IMG_20151112_164723_cell_137.png
18,C146P107ThinF_IMG_20151018_140044_cell_121.png
19,C143P104ThinF_IMG_20151005_230100_cell_142.png
20,C83P44ThinF_IMG_20150817_133454_cell_100.png
21,C133P94ThinF_IMG_20151004_153930_cell_71.png
22,C45P6ThinF_IMG_20151130_160135_cell_74.png
23,C61P22N_ThinF_IMG_20150818_112433_cell_47.png
24,C226ThinF_IMG_20151112_131408_cell_87.png
25,C240ThinF_IMG_20151127_115247_cell_151.png
26,C207ThinF_IMG_20151029_144152_cell_4.png
27,C173P134NThinF_IMG_20151130_120046_cell_20.png
28,C3thin_original_IMG_20150608_163029_cell_109.png
29,C46P7ThinF_IMG_20151130_210309_cell_18.png
30,C78P39ThinF_IMG_20150606_103459_cell_62.png
31,C141P102ThinF_IMG_20151005_214033_cell_9.png
32,C71P32_ThinF_IMG_20150813_163655_cell_140.png
33,C51AP12thinF_IMG_20150724_154330_cell_65.png
34,C237ThinF_IMG_20151127_105320_cell_120.png
35,C141P102ThinF_IMG_20151005_214338_cell_23.png
36,C122P83ThinF_IMG_20151002_150207_cell_88.png
37,C64P25N_ThinF_IMG_20150818_153517_cell_56.png
38,C155P116ThinF_IMG_20151115_142805_cell_45.png
39,C169P130ThinF_IMG_20151119_144354_cell_82.png
40,C42P5thin_original_IMG_20150623_134547_cell_160.png
41,C149P110ThinF_IMG_20151115_115154_cell_28.png
42,C175P136NThinF_IMG_20151127_141325_cell_113.png
43,C159P120ThinF_IMG_20151115_190642_cell_145.png
44,C76P37ThinF_IMG_20150815_171454_cell_92.png
45,C47P8thin_Original_Motic_IMG_20150714_093600_cell_149.png
46,C76P37ThinF_IMG_20150815_172902_cell_137.png
47,C112P73ThinF_IMG_20150930_131254_cell_4.png
48,C229ThinF_IMG_20151112_144613_cell_237.png
49,C160P121ThinF_IMG_20151116_092925_cell_32.png
50,C148P109ThinF_IMG_20151115_112445_cell_15.png
51,C86P47ThinF_IMG_20150820_123717_cell_63.png
52,C74P35_ThinF_IMG_20150815_114401_cell_35.png
53,C70P31_ThinF_IMG_20150813_130332_cell_21.png
54,C91P52ThinF_IMG_20150821_123314_cell_25.png
55,C128P89ThinF_IMG_20151004_131753_cell_40.png
56,C219ThinF_IMG_20151106_150027_cell_75.png
57,C65P26N_ThinF_IMG_20150818_154624_cell_17.png
58,C107P68ThinF_IMG_20150924_222535_cell_57.png
59,C158P119ThinF_IMG_20151115_181436_cell_118.png
60,C58P19thinF_IMG_20150802_122846_cell_115.png
61,C202ThinF_IMG_20151015_152200_cell_39.png
62,C171P132ThinF_IMG_20151119_153512_cell_177.png
63,C220ThinF_IMG_20151106_154016_cell_114.png
64,C110P71ThinF_IMG_20150930_110052_cell_54.png
65,C76P37ThinF_IMG_20150815_173019_cell_172.png
66,C201ThinF_IMG_20150930_143544_cell_115.png
67,C61P22N_ThinF_IMG_20150818_112518_cell_156.png
68,C164P125ThinF_IMG_20151116_115149_cell_126.png
